时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-08 16:46:59.368,4,COM8,0,ELVDD_EX,6870.360,29.057
2025-11-08 16:46:59.595,4,COM8,1,ELVSS_EX,-1368.725,-1.401
2025-11-08 16:46:59.937,4,COM8,2,VCC_EX,2720.319,8.897
2025-11-08 16:47:00.155,4,COM8,3,IOVCC_EX,1808.633,261.058
2025-11-08 16:47:00.512,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 16:47:00.738,4,COM8,5,VCI,2816.000,0.000
2025-11-08 16:47:01.088,4,COM8,6,VSP,5392.000,0.000
2025-11-08 16:47:01.315,4,COM8,7,VSN,0.000,12.085
2025-11-08 16:47:01.643,1,COM9,0,ELVDD_EX,7030.650,30.742
2025-11-08 16:47:01.858,1,COM9,1,ELVSS_EX,-1248.479,-1.171
2025-11-08 16:47:02.207,1,COM9,2,VCC_EX,2729.101,8.447
2025-11-08 16:47:02.424,1,COM9,3,IOVCC_EX,1806.056,300.886
2025-11-08 16:47:02.784,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 16:47:03.012,1,COM9,5,VCI,3008.000,0.000
2025-11-08 16:47:03.362,1,COM9,6,VSP,5384.000,0.000
2025-11-08 16:47:03.588,1,COM9,7,VSN,0.000,0.000
2025-11-08 16:47:13.955,5,COM7,0,ELVDD_EX,6839.223,17.200
2025-11-08 16:47:14.181,5,COM7,1,ELVSS_EX,-1277.293,-1.173
2025-11-08 16:47:14.521,5,COM7,2,VCC_EX,2721.017,8.144
2025-11-08 16:47:14.737,5,COM7,3,IOVCC_EX,1824.140,306.703
2025-11-08 16:47:15.096,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 16:47:15.313,5,COM7,5,VCI,3008.000,0.000
2025-11-08 16:47:15.672,5,COM7,6,VSP,5376.000,0.000
2025-11-08 16:47:15.900,5,COM7,7,VSN,0.000,72.510
2025-11-08 16:47:16.207,4,COM8,0,ELVDD_EX,6890.381,17.818
2025-11-08 16:47:16.444,4,COM8,1,ELVSS_EX,-1382.327,-0.740
2025-11-08 16:47:16.786,4,COM8,2,VCC_EX,2720.060,7.808
2025-11-08 16:47:17.012,4,COM8,3,IOVCC_EX,1808.892,264.729
2025-11-08 16:47:17.362,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 16:47:17.579,4,COM8,5,VCI,2816.000,0.000
2025-11-08 16:47:17.937,4,COM8,6,VSP,5384.000,0.000
