时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-08 15:48:35.393,5,COM7,0,ELVDD_EX,6845.210,13.659
2025-11-08 15:48:35.619,5,COM7,1,ELVSS_EX,-1301.949,-0.583
2025-11-08 15:48:35.967,5,COM7,2,VCC_EX,2720.121,7.347
2025-11-08 15:48:36.182,5,COM7,3,IOVCC_EX,1823.927,309.868
2025-11-08 15:48:36.540,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 15:48:36.764,5,COM7,5,VCI,3008.000,0.000
2025-11-08 15:48:37.112,5,COM7,6,VSP,5376.000,0.000
2025-11-08 15:48:37.347,5,COM7,7,VSN,0.000,12.085
2025-11-08 15:48:37.655,4,COM8,0,ELVDD_EX,6891.472,27.749
2025-11-08 15:48:37.878,4,COM8,1,ELVSS_EX,-1336.969,-1.486
2025-11-08 15:48:38.228,4,COM8,2,VCC_EX,2719.810,7.866
2025-11-08 15:48:38.454,4,COM8,3,IOVCC_EX,1808.486,267.094
2025-11-08 15:48:38.795,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 15:48:39.032,4,COM8,5,VCI,2816.000,0.000
2025-11-08 15:48:39.371,4,COM8,6,VSP,5392.000,0.000
2025-11-08 15:48:39.598,4,COM8,7,VSN,0.000,34.241
2025-11-08 15:48:39.937,1,COM9,0,ELVDD_EX,7040.574,14.849
2025-11-08 15:48:40.164,1,COM9,1,ELVSS_EX,-1328.337,-0.344
2025-11-08 15:48:40.503,1,COM9,2,VCC_EX,2727.639,8.149
2025-11-08 15:48:40.719,1,COM9,3,IOVCC_EX,1804.683,314.969
2025-11-08 15:48:41.078,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 15:48:41.305,1,COM9,5,VCI,3008.000,0.000
2025-11-08 15:48:41.655,1,COM9,6,VSP,5384.000,0.000
2025-11-08 15:48:41.880,1,COM9,7,VSN,0.000,0.000
2025-11-08 15:48:52.237,5,COM7,0,ELVDD_EX,6839.979,17.108
