时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-08 08:01:00.848,4,COM8,0,ELVDD_EX,6893.418,17.851
2025-11-08 08:01:01.086,4,COM8,1,ELVSS_EX,-1383.815,-0.808
2025-11-08 08:01:01.420,4,COM8,2,VCC_EX,2720.842,7.826
2025-11-08 08:01:01.645,4,COM8,3,IOVCC_EX,1808.662,264.242
2025-11-08 08:01:01.994,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 08:01:02.226,4,COM8,5,VCI,2816.000,0.000
2025-11-08 08:01:02.568,4,COM8,6,VSP,5384.000,0.000
2025-11-08 08:01:02.785,4,COM8,7,VSN,0.000,30.212
2025-11-08 08:01:03.107,1,COM9,0,ELVDD_EX,7025.541,30.633
2025-11-08 08:01:03.323,1,COM9,1,ELVSS_EX,-1275.993,-1.222
2025-11-08 08:01:03.679,1,COM9,2,VCC_EX,2728.783,8.382
2025-11-08 08:01:03.911,1,COM9,3,IOVCC_EX,1804.361,313.604
2025-11-08 08:01:04.251,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 08:01:04.480,1,COM9,5,VCI,3008.000,0.000
2025-11-08 08:01:04.825,1,COM9,6,VSP,5384.000,0.000
2025-11-08 08:01:05.049,1,COM9,7,VSN,0.000,0.000
2025-11-08 08:01:15.405,5,COM7,0,ELVDD_EX,6845.876,14.013
2025-11-08 08:01:15.620,5,COM7,1,ELVSS_EX,-1297.125,-0.892
2025-11-08 08:01:15.977,5,COM7,2,VCC_EX,2721.099,7.419
2025-11-08 08:01:16.202,5,COM7,3,IOVCC_EX,1824.622,308.670
2025-11-08 08:01:16.550,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 08:01:16.771,5,COM7,5,VCI,3008.000,0.000
2025-11-08 08:01:17.125,5,COM7,6,VSP,5376.000,0.000
2025-11-08 08:01:17.360,5,COM7,7,VSN,0.000,60.425
2025-11-08 08:01:17.688,4,COM8,0,ELVDD_EX,6872.876,17.374
2025-11-08 08:01:17.911,4,COM8,1,ELVSS_EX,-1344.394,-1.403
2025-11-08 08:01:18.260,4,COM8,2,VCC_EX,2721.043,8.875
2025-11-08 08:01:18.509,4,COM8,3,IOVCC_EX,1807.573,262.687
2025-11-08 08:01:18.833,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 08:01:19.059,4,COM8,5,VCI,2816.000,0.000
2025-11-08 08:01:19.408,4,COM8,6,VSP,5392.000,0.000
2025-11-08 08:01:19.620,4,COM8,7,VSN,0.000,10.071
2025-11-08 08:01:19.946,1,COM9,0,ELVDD_EX,7042.461,18.891
2025-11-08 08:01:20.162,1,COM9,1,ELVSS_EX,-1266.569,-1.344
2025-11-08 08:01:20.518,1,COM9,2,VCC_EX,2726.933,8.111
2025-11-08 08:01:20.755,1,COM9,3,IOVCC_EX,1804.389,317.927
