时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-08 22:37:46.310,4,COM8,0,ELVDD_EX,6871.700,16.227
2025-11-08 22:37:46.675,4,COM8,1,ELVSS_EX,-1382.672,-0.757
2025-11-08 22:37:46.901,4,COM8,2,VCC_EX,2720.555,9.172
2025-11-08 22:37:47.251,4,COM8,3,IOVCC_EX,1808.359,264.144
2025-11-08 22:37:47.466,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 22:37:47.824,4,COM8,5,VCI,2816.000,0.000
2025-11-08 22:37:48.040,4,COM8,6,VSP,5392.000,0.000
2025-11-08 22:37:48.397,4,COM8,7,VSN,0.000,22.156
2025-11-08 22:37:48.621,1,COM9,0,ELVDD_EX,7044.064,18.942
2025-11-08 22:37:48.926,1,COM9,1,ELVSS_EX,-1323.423,-0.438
2025-11-08 22:37:49.141,1,COM9,2,VCC_EX,2727.786,8.169
2025-11-08 22:37:49.499,1,COM9,3,IOVCC_EX,1805.359,313.126
2025-11-08 22:37:49.736,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 22:37:50.072,1,COM9,5,VCI,3008.000,0.000
2025-11-08 22:37:50.285,1,COM9,6,VSP,5384.000,0.000
2025-11-08 22:37:50.585,1,COM9,7,VSN,0.000,0.000
2025-11-08 22:38:00.821,5,COM7,0,ELVDD_EX,6841.177,17.706
2025-11-08 22:38:01.158,5,COM7,1,ELVSS_EX,-1295.166,-0.761
2025-11-08 22:38:01.381,5,COM7,2,VCC_EX,2719.789,7.570
2025-11-08 22:38:01.732,5,COM7,3,IOVCC_EX,1823.494,313.979
2025-11-08 22:38:01.977,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 22:38:02.306,5,COM7,5,VCI,3008.000,0.000
2025-11-08 22:38:02.542,5,COM7,6,VSP,5376.000,0.000
2025-11-08 22:38:02.882,5,COM7,7,VSN,0.000,0.000
2025-11-08 22:38:03.090,4,COM8,0,ELVDD_EX,6874.924,16.466
2025-11-08 22:38:03.454,4,COM8,1,ELVSS_EX,-1314.856,-2.002
2025-11-08 22:38:03.668,4,COM8,2,VCC_EX,2722.444,7.719
2025-11-08 22:38:04.026,4,COM8,3,IOVCC_EX,1809.565,264.078
2025-11-08 22:38:04.255,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 22:38:04.602,4,COM8,5,VCI,2816.000,0.000
2025-11-08 22:38:04.821,4,COM8,6,VSP,5392.000,0.000
2025-11-08 22:38:05.177,4,COM8,7,VSN,0.000,8.057
2025-11-08 22:38:05.400,1,COM9,0,ELVDD_EX,7031.487,30.811
2025-11-08 22:38:05.771,1,COM9,1,ELVSS_EX,-1280.536,-1.178
2025-11-08 22:38:05.997,1,COM9,2,VCC_EX,2729.454,8.441
2025-11-08 22:38:06.346,1,COM9,3,IOVCC_EX,1804.905,316.559
2025-11-08 22:38:06.573,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 22:38:06.912,1,COM9,5,VCI,3008.000,0.000
2025-11-08 22:38:07.128,1,COM9,6,VSP,5392.000,0.000
2025-11-08 22:38:07.428,1,COM9,7,VSN,0.000,0.000
2025-11-08 22:38:17.691,5,COM7,0,ELVDD_EX,6845.017,18.188
2025-11-08 22:38:18.001,5,COM7,1,ELVSS_EX,-1299.312,-0.738
2025-11-08 22:38:18.227,5,COM7,2,VCC_EX,2720.482,7.412
2025-11-08 22:38:18.574,5,COM7,3,IOVCC_EX,1824.160,312.912
2025-11-08 22:38:18.795,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 22:38:19.150,5,COM7,5,VCI,3008.000,0.000
2025-11-08 22:38:19.374,5,COM7,6,VSP,5376.000,0.000
2025-11-08 22:38:19.725,5,COM7,7,VSN,0.000,26.184
