时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-09 00:34:38.476,5,COM7,0,ELVDD_EX,6825.286,28.064
2025-11-09 00:34:38.694,5,COM7,1,ELVSS_EX,-1297.600,-0.888
2025-11-09 00:34:39.045,5,COM7,2,VCC_EX,2720.826,8.198
2025-11-09 00:34:39.262,5,COM7,3,IOVCC_EX,1823.891,310.727
2025-11-09 00:34:39.622,5,COM7,4,IOVCC,1800.000,0.000
2025-11-09 00:34:39.838,5,COM7,5,VCI,3008.000,0.000
2025-11-09 00:34:40.199,5,COM7,6,VSP,5376.000,0.000
2025-11-09 00:34:40.416,5,COM7,7,VSN,0.000,56.396
2025-11-09 00:34:40.743,4,COM8,0,ELVDD_EX,6869.902,22.576
2025-11-09 00:34:40.990,4,COM8,1,ELVSS_EX,-1331.661,-1.550
2025-11-09 00:34:41.319,4,COM8,2,VCC_EX,2719.922,9.187
2025-11-09 00:34:41.535,4,COM8,3,IOVCC_EX,1808.166,262.885
2025-11-09 00:34:41.895,4,COM8,4,IOVCC,1808.000,0.000
2025-11-09 00:34:42.131,4,COM8,5,VCI,2816.000,0.000
2025-11-09 00:34:42.469,4,COM8,6,VSP,5384.000,0.000
2025-11-09 00:34:42.686,4,COM8,7,VSN,0.000,6.042
2025-11-09 00:34:42.986,1,COM9,0,ELVDD_EX,7024.291,18.486
2025-11-09 00:34:43.203,1,COM9,1,ELVSS_EX,-1321.364,-0.384
2025-11-09 00:34:43.564,1,COM9,2,VCC_EX,2729.800,8.493
2025-11-09 00:34:43.781,1,COM9,3,IOVCC_EX,1804.777,311.712
2025-11-09 00:34:44.137,1,COM9,4,IOVCC,1800.000,0.000
2025-11-09 00:34:44.361,1,COM9,5,VCI,3008.000,0.000
2025-11-09 00:34:44.710,1,COM9,6,VSP,5392.000,0.000
2025-11-09 00:34:44.957,1,COM9,7,VSN,0.000,0.000
2025-11-09 00:34:55.315,5,COM7,0,ELVDD_EX,6841.870,30.216
2025-11-09 00:34:55.532,5,COM7,1,ELVSS_EX,-1293.710,-1.725
2025-11-09 00:34:55.893,5,COM7,2,VCC_EX,2721.305,7.546
2025-11-09 00:34:56.111,5,COM7,3,IOVCC_EX,1823.782,311.393
2025-11-09 00:34:56.462,5,COM7,4,IOVCC,1800.000,0.000
2025-11-09 00:34:56.699,5,COM7,5,VCI,3008.000,0.000
2025-11-09 00:34:57.040,5,COM7,6,VSP,5376.000,0.000
2025-11-09 00:34:57.257,5,COM7,7,VSN,0.000,0.000
2025-11-09 00:34:57.586,4,COM8,0,ELVDD_EX,6892.755,13.292
2025-11-09 00:34:57.812,4,COM8,1,ELVSS_EX,-1384.726,-0.683
2025-11-09 00:34:58.161,4,COM8,2,VCC_EX,2720.282,7.779
2025-11-09 00:34:58.378,4,COM8,3,IOVCC_EX,1808.212,259.832
2025-11-09 00:34:58.737,4,COM8,4,IOVCC,1808.000,0.000
2025-11-09 00:34:58.953,4,COM8,5,VCI,2816.000,0.000
