时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-10 01:54:05.502,1,COM9,0,ELVDD_EX,7038.812,18.590
2025-11-10 01:54:05.719,1,COM9,1,ELVSS_EX,-1321.551,-0.403
2025-11-10 01:54:06.068,1,COM9,2,VCC_EX,2728.011,8.468
2025-11-10 01:54:06.282,1,COM9,3,IOVCC_EX,1805.146,311.447
2025-11-10 01:54:06.582,1,COM9,4,IOVCC,1800.000,0.000
2025-11-10 01:54:06.812,1,COM9,5,VCI,3008.000,0.000
2025-11-10 01:54:07.157,1,COM9,6,VSP,5392.000,0.000
2025-11-10 01:54:07.375,1,COM9,7,VSN,0.000,0.000
2025-11-10 01:54:17.736,5,COM7,0,ELVDD_EX,6833.159,17.103
2025-11-10 01:54:17.951,5,COM7,1,ELVSS_EX,-1259.997,-2.166
2025-11-10 01:54:18.309,5,COM7,2,VCC_EX,2723.304,8.392
2025-11-10 01:54:18.538,5,COM7,3,IOVCC_EX,1825.683,300.570
2025-11-10 01:54:18.883,5,COM7,4,IOVCC,1800.000,0.000
2025-11-10 01:54:19.102,5,COM7,5,VCI,3008.000,0.000
2025-11-10 01:54:19.459,5,COM7,6,VSP,5376.000,0.000
2025-11-10 01:54:19.676,5,COM7,7,VSN,0.000,12.085
2025-11-10 01:54:20.014,4,COM8,0,ELVDD_EX,6892.443,13.390
2025-11-10 01:54:20.231,4,COM8,1,ELVSS_EX,-1385.465,-0.683
2025-11-10 01:54:20.586,4,COM8,2,VCC_EX,2720.023,9.378
2025-11-10 01:54:20.816,4,COM8,3,IOVCC_EX,1809.033,254.497
2025-11-10 01:54:21.161,4,COM8,4,IOVCC,1808.000,0.000
2025-11-10 01:54:21.390,4,COM8,5,VCI,2816.000,0.000
2025-11-10 01:54:21.734,4,COM8,6,VSP,5384.000,0.000
2025-11-10 01:54:21.952,4,COM8,7,VSN,0.000,2.014
2025-11-10 01:54:22.280,1,COM9,0,ELVDD_EX,7047.740,15.115
2025-11-10 01:54:22.497,1,COM9,1,ELVSS_EX,-1324.748,-0.496
2025-11-10 01:54:22.853,1,COM9,2,VCC_EX,2728.471,8.434
2025-11-10 01:54:23.063,1,COM9,3,IOVCC_EX,1805.478,309.435
2025-11-10 01:54:23.426,1,COM9,4,IOVCC,1800.000,0.000
2025-11-10 01:54:23.639,1,COM9,5,VCI,3008.000,0.000
2025-11-10 01:54:24.000,1,COM9,6,VSP,5384.000,0.000
2025-11-10 01:54:24.234,1,COM9,7,VSN,0.000,0.000
2025-11-10 01:54:34.583,5,COM7,0,ELVDD_EX,6827.770,24.396
2025-11-10 01:54:34.796,5,COM7,1,ELVSS_EX,-1260.122,-1.451
2025-11-10 01:54:35.155,5,COM7,2,VCC_EX,2721.220,8.372
2025-11-10 01:54:35.370,5,COM7,3,IOVCC_EX,1823.991,314.307
2025-11-10 01:54:35.729,5,COM7,4,IOVCC,1800.000,0.000
2025-11-10 01:54:35.944,5,COM7,5,VCI,3008.000,0.000
2025-11-10 01:54:36.305,5,COM7,6,VSP,5376.000,0.000
