时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-08 00:13:23.455,1,COM9,0,ELVDD_EX,7043.419,14.984
2025-11-08 00:13:23.691,1,COM9,1,ELVSS_EX,-1323.918,-0.502
2025-11-08 00:13:24.021,1,COM9,2,VCC_EX,2726.890,8.407
2025-11-08 00:13:24.252,1,COM9,3,IOVCC_EX,1805.077,312.934
2025-11-08 00:13:24.606,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 00:13:24.843,1,COM9,5,VCI,3008.000,0.000
2025-11-08 00:13:25.170,1,COM9,6,VSP,5384.000,0.000
2025-11-08 00:13:25.395,1,COM9,7,VSN,0.000,0.000
2025-11-08 00:13:35.696,5,COM7,0,ELVDD_EX,6829.021,29.079
2025-11-08 00:13:35.922,5,COM7,1,ELVSS_EX,-1254.364,-1.482
2025-11-08 00:13:36.260,5,COM7,2,VCC_EX,2722.200,8.170
2025-11-08 00:13:36.477,5,COM7,3,IOVCC_EX,1824.628,315.103
2025-11-08 00:13:36.834,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 00:13:37.060,5,COM7,5,VCI,3008.000,0.000
2025-11-08 00:13:37.409,5,COM7,6,VSP,5376.000,0.000
2025-11-08 00:13:37.636,5,COM7,7,VSN,0.000,10.071
2025-11-08 00:13:37.995,4,COM8,0,ELVDD_EX,6892.233,13.596
2025-11-08 00:13:38.222,4,COM8,1,ELVSS_EX,-1382.729,-0.813
2025-11-08 00:13:38.573,4,COM8,2,VCC_EX,2720.312,7.789
2025-11-08 00:13:38.788,4,COM8,3,IOVCC_EX,1806.923,268.634
2025-11-08 00:13:39.147,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 00:13:39.362,4,COM8,5,VCI,2816.000,0.000
2025-11-08 00:13:39.722,4,COM8,6,VSP,5384.000,0.000
2025-11-08 00:13:39.937,4,COM8,7,VSN,0.000,20.142
2025-11-08 00:13:40.297,1,COM9,0,ELVDD_EX,7038.022,18.418
2025-11-08 00:13:40.523,1,COM9,1,ELVSS_EX,-1303.747,-0.411
2025-11-08 00:13:40.863,1,COM9,2,VCC_EX,2726.448,8.185
2025-11-08 00:13:41.088,1,COM9,3,IOVCC_EX,1804.650,316.916
2025-11-08 00:13:41.436,1,COM9,4,IOVCC,1800.000,0.000
