时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-09 18:06:38.810,5,COM7,0,ELVDD_EX,6844.957,13.971
2025-11-09 18:06:39.026,5,COM7,1,ELVSS_EX,-1299.334,-0.817
2025-11-09 18:06:39.383,5,COM7,2,VCC_EX,2720.529,8.216
2025-11-09 18:06:39.592,5,COM7,3,IOVCC_EX,1824.077,309.992
2025-11-09 18:06:39.955,5,COM7,4,IOVCC,1800.000,0.000
2025-11-09 18:06:40.178,5,COM7,5,VCI,3008.000,0.000
2025-11-09 18:06:40.529,5,COM7,6,VSP,5376.000,0.000
2025-11-09 18:06:40.753,5,COM7,7,VSN,0.000,12.085
2025-11-09 18:06:41.104,4,COM8,0,ELVDD_EX,6892.756,15.340
2025-11-09 18:06:41.326,4,COM8,1,ELVSS_EX,-1383.605,-1.522
2025-11-09 18:06:41.677,4,COM8,2,VCC_EX,2720.739,7.876
2025-11-09 18:06:41.913,4,COM8,3,IOVCC_EX,1808.739,256.556
2025-11-09 18:06:42.251,4,COM8,4,IOVCC,1808.000,0.000
2025-11-09 18:06:42.484,4,COM8,5,VCI,2816.000,0.000
2025-11-09 18:06:42.824,4,COM8,6,VSP,5392.000,0.000
2025-11-09 18:06:43.040,4,COM8,7,VSN,0.000,36.255
2025-11-09 18:06:43.375,1,COM9,0,ELVDD_EX,7045.200,25.342
2025-11-09 18:06:43.598,1,COM9,1,ELVSS_EX,-1267.293,-1.337
2025-11-09 18:06:43.946,1,COM9,2,VCC_EX,2727.643,8.114
2025-11-09 18:06:44.174,1,COM9,3,IOVCC_EX,1804.734,317.102
2025-11-09 18:06:44.520,1,COM9,4,IOVCC,1800.000,0.000
2025-11-09 18:06:44.748,1,COM9,5,VCI,3008.000,0.000
2025-11-09 18:06:45.095,1,COM9,6,VSP,5384.000,0.000
2025-11-09 18:06:45.312,1,COM9,7,VSN,0.000,0.000
2025-11-09 18:06:55.651,5,COM7,0,ELVDD_EX,6840.861,29.314
2025-11-09 18:06:55.912,5,COM7,1,ELVSS_EX,-1260.378,-1.453
2025-11-09 18:06:56.284,5,COM7,2,VCC_EX,2721.300,7.584
2025-11-09 18:06:56.519,5,COM7,3,IOVCC_EX,1823.339,314.203
2025-11-09 18:06:56.863,5,COM7,4,IOVCC,1800.000,0.000
2025-11-09 18:06:57.089,5,COM7,5,VCI,3008.000,0.000
2025-11-09 18:06:57.440,5,COM7,6,VSP,5376.000,0.000
2025-11-09 18:06:57.658,5,COM7,7,VSN,0.000,0.000
2025-11-09 18:06:58.016,4,COM8,0,ELVDD_EX,6889.336,17.521
2025-11-09 18:06:58.228,4,COM8,1,ELVSS_EX,-1346.661,-0.810
2025-11-09 18:06:58.586,4,COM8,2,VCC_EX,2720.447,8.023
2025-11-09 18:06:58.811,4,COM8,3,IOVCC_EX,1807.633,261.763
2025-11-09 18:06:59.162,4,COM8,4,IOVCC,1808.000,0.000
2025-11-09 18:06:59.388,4,COM8,5,VCI,2816.000,0.000
2025-11-09 18:06:59.727,4,COM8,6,VSP,5384.000,0.000
2025-11-09 18:06:59.954,4,COM8,7,VSN,0.000,16.113
2025-11-09 18:07:00.284,1,COM9,0,ELVDD_EX,7029.376,17.775
2025-11-09 18:07:00.521,1,COM9,1,ELVSS_EX,-1249.100,-1.757
2025-11-09 18:07:00.851,1,COM9,2,VCC_EX,2731.615,8.447
2025-11-09 18:07:01.078,1,COM9,3,IOVCC_EX,1806.832,306.884
2025-11-09 18:07:01.427,1,COM9,4,IOVCC,1800.000,0.000
2025-11-09 18:07:01.644,1,COM9,5,VCI,3008.000,0.000
2025-11-09 18:07:01.993,1,COM9,6,VSP,5384.000,0.000
2025-11-09 18:07:02.209,1,COM9,7,VSN,0.000,0.000
2025-11-09 18:07:12.555,5,COM7,0,ELVDD_EX,6843.164,18.455
2025-11-09 18:07:12.781,5,COM7,1,ELVSS_EX,-1296.579,-0.749
2025-11-09 18:07:13.132,5,COM7,2,VCC_EX,2720.386,7.520
2025-11-09 18:07:13.360,5,COM7,3,IOVCC_EX,1823.376,314.842
2025-11-09 18:07:13.709,5,COM7,4,IOVCC,1800.000,0.000
2025-11-09 18:07:13.945,5,COM7,5,VCI,3008.000,0.000
2025-11-09 18:07:14.281,5,COM7,6,VSP,5376.000,0.000
2025-11-09 18:07:14.497,5,COM7,7,VSN,0.000,18.127
2025-11-09 18:07:14.856,4,COM8,0,ELVDD_EX,6891.490,13.780
2025-11-09 18:07:15.083,4,COM8,1,ELVSS_EX,-1383.572,-0.838
2025-11-09 18:07:15.422,4,COM8,2,VCC_EX,2720.632,7.894
2025-11-09 18:07:15.637,4,COM8,3,IOVCC_EX,1808.520,263.632
2025-11-09 18:07:15.996,4,COM8,4,IOVCC,1808.000,0.000
2025-11-09 18:07:16.232,4,COM8,5,VCI,2816.000,0.000
2025-11-09 18:07:16.571,4,COM8,6,VSP,5384.000,0.000
2025-11-09 18:07:16.798,4,COM8,7,VSN,0.000,20.142
2025-11-09 18:07:17.116,1,COM9,0,ELVDD_EX,7025.999,18.971
2025-11-09 18:07:17.333,1,COM9,1,ELVSS_EX,-1267.619,-1.392
2025-11-09 18:07:17.696,1,COM9,2,VCC_EX,2729.877,8.510
2025-11-09 18:07:17.922,1,COM9,3,IOVCC_EX,1805.421,313.061
2025-11-09 18:07:18.262,1,COM9,4,IOVCC,1800.000,0.000
2025-11-09 18:07:18.478,1,COM9,5,VCI,3008.000,0.000
2025-11-09 18:07:18.838,1,COM9,6,VSP,5392.000,0.000
2025-11-09 18:07:19.052,1,COM9,7,VSN,0.000,0.000
2025-11-09 18:07:29.397,5,COM7,0,ELVDD_EX,6833.158,29.039
2025-11-09 18:07:29.612,5,COM7,1,ELVSS_EX,-1226.920,-2.210
2025-11-09 18:07:29.970,5,COM7,2,VCC_EX,2723.419,8.178
2025-11-09 18:07:30.185,5,COM7,3,IOVCC_EX,1824.425,306.767
2025-11-09 18:07:30.547,5,COM7,4,IOVCC,1800.000,0.000
2025-11-09 18:07:30.763,5,COM7,5,VCI,3008.000,0.000
2025-11-09 18:07:31.121,5,COM7,6,VSP,5376.000,0.000
2025-11-09 18:07:31.354,5,COM7,7,VSN,0.000,34.241
2025-11-09 18:07:31.702,4,COM8,0,ELVDD_EX,6869.458,29.020
2025-11-09 18:07:31.916,4,COM8,1,ELVSS_EX,-1366.792,-0.735
2025-11-09 18:07:32.263,4,COM8,2,VCC_EX,2719.864,8.967
2025-11-09 18:07:32.518,4,COM8,3,IOVCC_EX,1807.995,260.284
2025-11-09 18:07:32.844,4,COM8,4,IOVCC,1808.000,0.000
2025-11-09 18:07:33.068,4,COM8,5,VCI,2816.000,0.000
2025-11-09 18:07:33.417,4,COM8,6,VSP,5384.000,0.000
2025-11-09 18:07:33.632,4,COM8,7,VSN,0.000,22.156
2025-11-09 18:07:33.958,1,COM9,0,ELVDD_EX,7029.114,17.722
2025-11-09 18:07:34.182,1,COM9,1,ELVSS_EX,-1293.628,-1.761
2025-11-09 18:07:34.531,1,COM9,2,VCC_EX,2729.257,8.360
2025-11-09 18:07:34.756,1,COM9,3,IOVCC_EX,1806.471,302.999
2025-11-09 18:07:35.113,1,COM9,4,IOVCC,1800.000,0.000
2025-11-09 18:07:35.332,1,COM9,5,VCI,3008.000,0.000
2025-11-09 18:07:35.687,1,COM9,6,VSP,5384.000,0.000
2025-11-09 18:07:35.909,1,COM9,7,VSN,0.000,0.000
2025-11-09 18:07:46.251,5,COM7,0,ELVDD_EX,6826.887,24.347
2025-11-09 18:07:46.477,5,COM7,1,ELVSS_EX,-1253.315,-1.762
2025-11-09 18:07:46.816,5,COM7,2,VCC_EX,2720.144,8.262
2025-11-09 18:07:47.031,5,COM7,3,IOVCC_EX,1824.084,314.895
2025-11-09 18:07:47.389,5,COM7,4,IOVCC,1800.000,0.000
2025-11-09 18:07:47.635,5,COM7,5,VCI,3008.000,0.000
2025-11-09 18:07:47.961,5,COM7,6,VSP,5376.000,0.000
2025-11-09 18:07:48.179,5,COM7,7,VSN,0.000,34.241
2025-11-09 18:07:48.537,4,COM8,0,ELVDD_EX,6891.403,18.080
2025-11-09 18:07:48.752,4,COM8,1,ELVSS_EX,-1384.946,-0.703
2025-11-09 18:07:49.112,4,COM8,2,VCC_EX,2720.244,7.844
2025-11-09 18:07:49.328,4,COM8,3,IOVCC_EX,1808.561,264.382
2025-11-09 18:07:49.680,4,COM8,4,IOVCC,1808.000,0.000
2025-11-09 18:07:49.896,4,COM8,5,VCI,2816.000,0.000
2025-11-09 18:07:50.264,4,COM8,6,VSP,5384.000,0.000
2025-11-09 18:07:50.502,4,COM8,7,VSN,0.000,12.085
