时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-09 02:31:29.689,1,COM9,0,ELVDD_EX,7043.399,19.157
2025-11-09 02:31:29.925,1,COM9,1,ELVSS_EX,-1322.519,-0.408
2025-11-09 02:31:30.262,1,COM9,2,VCC_EX,2727.601,8.149
2025-11-09 02:31:30.488,1,COM9,3,IOVCC_EX,1804.856,316.716
2025-11-09 02:31:30.837,1,COM9,4,IOVCC,1800.000,0.000
2025-11-09 02:31:31.066,1,COM9,5,VCI,3008.000,0.000
2025-11-09 02:31:31.410,1,COM9,6,VSP,5392.000,0.000
2025-11-09 02:31:31.634,1,COM9,7,VSN,0.000,0.000
2025-11-09 02:31:41.935,5,COM7,0,ELVDD_EX,6843.135,25.205
2025-11-09 02:31:42.159,5,COM7,1,ELVSS_EX,-1246.751,-1.756
2025-11-09 02:31:42.507,5,COM7,2,VCC_EX,2721.938,8.209
2025-11-09 02:31:42.731,5,COM7,3,IOVCC_EX,1823.808,307.472
2025-11-09 02:31:43.076,5,COM7,4,IOVCC,1800.000,0.000
2025-11-09 02:31:43.300,5,COM7,5,VCI,3008.000,0.000
2025-11-09 02:31:43.657,5,COM7,6,VSP,5368.000,0.000
2025-11-09 02:31:43.893,5,COM7,7,VSN,0.000,22.156
2025-11-09 02:31:44.230,4,COM8,0,ELVDD_EX,6893.711,16.599
2025-11-09 02:31:44.468,4,COM8,1,ELVSS_EX,-1315.219,-2.002
2025-11-09 02:31:44.812,4,COM8,2,VCC_EX,2720.443,7.806
2025-11-09 02:31:45.035,4,COM8,3,IOVCC_EX,1808.082,259.764
2025-11-09 02:31:45.375,4,COM8,4,IOVCC,1808.000,0.000
2025-11-09 02:31:45.601,4,COM8,5,VCI,2816.000,0.000
2025-11-09 02:31:45.951,4,COM8,6,VSP,5384.000,0.000
2025-11-09 02:31:46.168,4,COM8,7,VSN,0.000,8.057
2025-11-09 02:31:46.472,1,COM9,0,ELVDD_EX,7025.668,30.679
2025-11-09 02:31:46.702,1,COM9,1,ELVSS_EX,-1260.187,-1.480
2025-11-09 02:31:47.045,1,COM9,2,VCC_EX,2729.086,8.426
2025-11-09 02:31:47.267,1,COM9,3,IOVCC_EX,1804.633,310.963
2025-11-09 02:31:47.619,1,COM9,4,IOVCC,1800.000,0.000
2025-11-09 02:31:47.835,1,COM9,5,VCI,3008.000,0.000
2025-11-09 02:31:48.193,1,COM9,6,VSP,5392.000,0.000
2025-11-09 02:31:48.409,1,COM9,7,VSN,0.000,0.000
2025-11-09 02:31:58.780,5,COM7,0,ELVDD_EX,6833.550,17.088
2025-11-09 02:31:58.997,5,COM7,1,ELVSS_EX,-1224.962,-2.172
2025-11-09 02:31:59.346,5,COM7,2,VCC_EX,2723.446,8.320
2025-11-09 02:31:59.581,5,COM7,3,IOVCC_EX,1823.832,307.367
2025-11-09 02:31:59.921,5,COM7,4,IOVCC,1800.000,0.000
2025-11-09 02:32:00.137,5,COM7,5,VCI,3008.000,0.000
2025-11-09 02:32:00.436,5,COM7,6,VSP,5376.000,0.000
2025-11-09 02:32:00.651,5,COM7,7,VSN,0.000,2.014
2025-11-09 02:32:01.012,4,COM8,0,ELVDD_EX,6891.841,16.214
