时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-08 04:07:16.143,5,COM7,0,ELVDD_EX,6845.316,13.555
2025-11-08 04:07:16.379,5,COM7,1,ELVSS_EX,-1302.938,-0.603
2025-11-08 04:07:16.720,5,COM7,2,VCC_EX,2720.037,7.322
2025-11-08 04:07:16.938,5,COM7,3,IOVCC_EX,1823.768,308.684
2025-11-08 04:07:17.287,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 04:07:17.525,5,COM7,5,VCI,3008.000,0.000
2025-11-08 04:07:17.865,5,COM7,6,VSP,5376.000,0.000
2025-11-08 04:07:18.092,5,COM7,7,VSN,0.000,48.340
2025-11-08 04:07:18.443,4,COM8,0,ELVDD_EX,6874.210,23.771
2025-11-08 04:07:18.680,4,COM8,1,ELVSS_EX,-1330.561,-1.567
2025-11-08 04:07:19.020,4,COM8,2,VCC_EX,2720.598,7.849
2025-11-08 04:07:19.256,4,COM8,3,IOVCC_EX,1808.755,266.436
2025-11-08 04:07:19.586,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 04:07:19.813,4,COM8,5,VCI,2816.000,0.000
2025-11-08 04:07:20.164,4,COM8,6,VSP,5384.000,0.000
2025-11-08 04:07:20.391,4,COM8,7,VSN,0.000,10.071
2025-11-08 04:07:20.719,1,COM9,0,ELVDD_EX,7027.002,30.597
2025-11-08 04:07:20.938,1,COM9,1,ELVSS_EX,-1280.125,-1.183
2025-11-08 04:07:21.285,1,COM9,2,VCC_EX,2728.641,8.421
2025-11-08 04:07:21.512,1,COM9,3,IOVCC_EX,1804.537,313.692
2025-11-08 04:07:21.860,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 04:07:22.098,1,COM9,5,VCI,3008.000,0.000
2025-11-08 04:07:22.435,1,COM9,6,VSP,5384.000,0.000
2025-11-08 04:07:22.661,1,COM9,7,VSN,0.000,0.000
2025-11-08 04:07:32.988,5,COM7,0,ELVDD_EX,6840.105,13.611
2025-11-08 04:07:33.224,5,COM7,1,ELVSS_EX,-1285.656,-0.685
2025-11-08 04:07:33.562,5,COM7,2,VCC_EX,2720.718,7.608
2025-11-08 04:07:33.777,5,COM7,3,IOVCC_EX,1824.199,308.886
2025-11-08 04:07:34.134,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 04:07:34.350,5,COM7,5,VCI,3008.000,0.000
2025-11-08 04:07:34.648,5,COM7,6,VSP,5376.000,0.000
2025-11-08 04:07:34.871,5,COM7,7,VSN,0.000,8.057
2025-11-08 04:07:35.220,4,COM8,0,ELVDD_EX,6872.466,16.601
2025-11-08 04:07:35.435,4,COM8,1,ELVSS_EX,-1320.083,-1.990
2025-11-08 04:07:35.791,4,COM8,2,VCC_EX,2721.852,9.315
2025-11-08 04:07:36.020,4,COM8,3,IOVCC_EX,1808.825,252.379
2025-11-08 04:07:36.364,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 04:07:36.594,4,COM8,5,VCI,2816.000,0.000
2025-11-08 04:07:36.940,4,COM8,6,VSP,5384.000,0.000
2025-11-08 04:07:37.159,4,COM8,7,VSN,0.000,6.042
2025-11-08 04:07:37.497,1,COM9,0,ELVDD_EX,7043.950,17.814
2025-11-08 04:07:37.722,1,COM9,1,ELVSS_EX,-1325.021,-0.446
2025-11-08 04:07:38.070,1,COM9,2,VCC_EX,2726.906,8.189
2025-11-08 04:07:38.294,1,COM9,3,IOVCC_EX,1804.348,307.366
2025-11-08 04:07:38.643,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 04:07:38.859,1,COM9,5,VCI,3008.000,0.000
2025-11-08 04:07:39.217,1,COM9,6,VSP,5392.000,0.000
2025-11-08 04:07:39.433,1,COM9,7,VSN,0.000,0.000
2025-11-08 04:07:49.770,5,COM7,0,ELVDD_EX,6825.420,25.176
2025-11-08 04:07:49.989,5,COM7,1,ELVSS_EX,-1243.023,-1.754
2025-11-08 04:07:50.342,5,COM7,2,VCC_EX,2721.603,7.340
2025-11-08 04:07:50.565,5,COM7,3,IOVCC_EX,1823.950,317.042
2025-11-08 04:07:50.915,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 04:07:51.143,5,COM7,5,VCI,3008.000,0.000
2025-11-08 04:07:51.490,5,COM7,6,VSP,5376.000,0.000
2025-11-08 04:07:51.709,5,COM7,7,VSN,0.000,70.496
2025-11-08 04:07:52.062,4,COM8,0,ELVDD_EX,6873.951,28.758
2025-11-08 04:07:52.292,4,COM8,1,ELVSS_EX,-1344.704,-1.349
2025-11-08 04:07:52.634,4,COM8,2,VCC_EX,2720.156,9.178
2025-11-08 04:07:52.847,4,COM8,3,IOVCC_EX,1807.797,266.850
2025-11-08 04:07:53.206,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 04:07:53.453,4,COM8,5,VCI,2816.000,0.000
2025-11-08 04:07:53.781,4,COM8,6,VSP,5384.000,0.000
2025-11-08 04:07:54.000,4,COM8,7,VSN,0.000,16.113
2025-11-08 04:07:54.339,1,COM9,0,ELVDD_EX,7026.275,30.380
2025-11-08 04:07:54.575,1,COM9,1,ELVSS_EX,-1284.966,-1.179
2025-11-08 04:07:54.912,1,COM9,2,VCC_EX,2728.392,8.469
2025-11-08 04:07:55.130,1,COM9,3,IOVCC_EX,1804.101,312.163
2025-11-08 04:07:55.487,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 04:07:55.709,1,COM9,5,VCI,3008.000,0.000
2025-11-08 04:07:56.062,1,COM9,6,VSP,5384.000,0.000
2025-11-08 04:07:56.285,1,COM9,7,VSN,0.000,0.000
2025-11-08 04:08:06.610,5,COM7,0,ELVDD_EX,6844.004,13.659
2025-11-08 04:08:06.841,5,COM7,1,ELVSS_EX,-1219.559,-0.699
2025-11-08 04:08:07.182,5,COM7,2,VCC_EX,2719.772,7.449
2025-11-08 04:08:07.397,5,COM7,3,IOVCC_EX,1823.630,311.223
2025-11-08 04:08:07.757,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 04:08:07.974,5,COM7,5,VCI,3008.000,0.000
2025-11-08 04:08:08.333,5,COM7,6,VSP,5376.000,0.000
2025-11-08 04:08:08.552,5,COM7,7,VSN,0.000,6.042
2025-11-08 04:08:08.902,4,COM8,0,ELVDD_EX,6892.804,13.310
2025-11-08 04:08:09.138,4,COM8,1,ELVSS_EX,-1383.644,-0.710
2025-11-08 04:08:09.475,4,COM8,2,VCC_EX,2719.905,9.318
2025-11-08 04:08:09.693,4,COM8,3,IOVCC_EX,1807.701,252.025
2025-11-08 04:08:10.050,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 04:08:10.270,4,COM8,5,VCI,2816.000,0.000
2025-11-08 04:08:10.624,4,COM8,6,VSP,5384.000,0.000
2025-11-08 04:08:10.846,4,COM8,7,VSN,0.000,14.099
2025-11-08 04:08:11.184,1,COM9,0,ELVDD_EX,7044.235,14.733
2025-11-08 04:08:11.413,1,COM9,1,ELVSS_EX,-1324.791,-0.408
2025-11-08 04:08:11.756,1,COM9,2,VCC_EX,2727.081,8.202
2025-11-08 04:08:11.980,1,COM9,3,IOVCC_EX,1804.645,308.437
2025-11-08 04:08:12.330,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 04:08:12.556,1,COM9,5,VCI,3008.000,0.000
2025-11-08 04:08:12.904,1,COM9,6,VSP,5384.000,0.000
2025-11-08 04:08:13.133,1,COM9,7,VSN,0.000,0.000
2025-11-08 04:08:23.454,5,COM7,0,ELVDD_EX,6842.766,25.120
2025-11-08 04:08:23.670,5,COM7,1,ELVSS_EX,-1296.928,-1.763
2025-11-08 04:08:24.027,5,COM7,2,VCC_EX,2720.320,8.163
2025-11-08 04:08:24.246,5,COM7,3,IOVCC_EX,1823.989,314.593
2025-11-08 04:08:24.600,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 04:08:24.823,5,COM7,5,VCI,3008.000,0.000
2025-11-08 04:08:25.175,5,COM7,6,VSP,5376.000,0.000
2025-11-08 04:08:25.388,5,COM7,7,VSN,0.000,24.170
2025-11-08 04:08:25.751,4,COM8,0,ELVDD_EX,6872.157,28.761
2025-11-08 04:08:25.966,4,COM8,1,ELVSS_EX,-1346.734,-1.370
2025-11-08 04:08:26.321,4,COM8,2,VCC_EX,2720.376,8.930
2025-11-08 04:08:26.562,4,COM8,3,IOVCC_EX,1807.415,264.324
2025-11-08 04:08:26.894,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 04:08:27.118,4,COM8,5,VCI,2816.000,0.000
2025-11-08 04:08:27.471,4,COM8,6,VSP,5384.000,0.000
2025-11-08 04:08:27.684,4,COM8,7,VSN,0.000,2.014
2025-11-08 04:08:28.025,1,COM9,0,ELVDD_EX,7036.629,30.264
2025-11-08 04:08:28.250,1,COM9,1,ELVSS_EX,-1280.363,-1.132
2025-11-08 04:08:28.598,1,COM9,2,VCC_EX,2728.186,8.420
2025-11-08 04:08:28.816,1,COM9,3,IOVCC_EX,1804.364,308.592
2025-11-08 04:08:29.171,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 04:08:29.391,1,COM9,5,VCI,3008.000,0.000
2025-11-08 04:08:29.745,1,COM9,6,VSP,5392.000,0.000
2025-11-08 04:08:29.968,1,COM9,7,VSN,0.000,0.000
2025-11-08 04:08:40.298,5,COM7,0,ELVDD_EX,6832.161,17.051
2025-11-08 04:08:40.528,5,COM7,1,ELVSS_EX,-1222.152,-2.194
2025-11-08 04:08:40.871,5,COM7,2,VCC_EX,2722.913,8.183
2025-11-08 04:08:41.085,5,COM7,3,IOVCC_EX,1825.427,310.532
2025-11-08 04:08:41.444,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 04:08:41.660,5,COM7,5,VCI,3008.000,0.000
2025-11-08 04:08:42.020,5,COM7,6,VSP,5376.000,0.000
2025-11-08 04:08:42.257,5,COM7,7,VSN,0.000,22.156
2025-11-08 04:08:42.592,4,COM8,0,ELVDD_EX,6893.549,13.298
2025-11-08 04:08:42.816,4,COM8,1,ELVSS_EX,-1383.128,-0.662
2025-11-08 04:08:43.165,4,COM8,2,VCC_EX,2720.211,7.690
