时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-08 11:54:42.926,1,COM9,0,ELVDD_EX,7037.812,17.875
2025-11-08 11:54:43.223,1,COM9,1,ELVSS_EX,-1299.002,-0.885
2025-11-08 11:54:43.438,1,COM9,2,VCC_EX,2728.842,8.234
2025-11-08 11:54:43.797,1,COM9,3,IOVCC_EX,1804.106,311.659
2025-11-08 11:54:44.024,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 11:54:44.363,1,COM9,5,VCI,3008.000,0.000
2025-11-08 11:54:44.577,1,COM9,6,VSP,5384.000,0.000
2025-11-08 11:54:44.876,1,COM9,7,VSN,0.000,0.000
2025-11-08 11:54:55.140,5,COM7,0,ELVDD_EX,6845.218,13.636
2025-11-08 11:54:55.463,5,COM7,1,ELVSS_EX,-1305.155,-0.583
2025-11-08 11:54:55.691,5,COM7,2,VCC_EX,2719.838,7.318
2025-11-08 11:54:56.034,5,COM7,3,IOVCC_EX,1823.777,307.214
2025-11-08 11:54:56.250,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 11:54:56.608,5,COM7,5,VCI,3008.000,0.000
2025-11-08 11:54:56.832,5,COM7,6,VSP,5376.000,0.000
2025-11-08 11:54:57.183,5,COM7,7,VSN,0.000,48.340
2025-11-08 11:54:57.400,4,COM8,0,ELVDD_EX,6893.841,13.350
2025-11-08 11:54:57.777,4,COM8,1,ELVSS_EX,-1389.212,-0.702
2025-11-08 11:54:58.000,4,COM8,2,VCC_EX,2720.861,7.578
2025-11-08 11:54:58.353,4,COM8,3,IOVCC_EX,1808.518,257.994
2025-11-08 11:54:58.577,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 11:54:58.934,4,COM8,5,VCI,2816.000,0.000
2025-11-08 11:54:59.178,4,COM8,6,VSP,5384.000,0.000
2025-11-08 11:54:59.505,4,COM8,7,VSN,0.000,30.212
2025-11-08 11:54:59.727,1,COM9,0,ELVDD_EX,7026.070,14.798
2025-11-08 11:55:00.061,1,COM9,1,ELVSS_EX,-1327.819,-0.350
2025-11-08 11:55:00.276,1,COM9,2,VCC_EX,2727.239,8.203
2025-11-08 11:55:00.635,1,COM9,3,IOVCC_EX,1805.111,310.664
2025-11-08 11:55:00.870,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 11:55:01.210,1,COM9,5,VCI,3008.000,0.000
2025-11-08 11:55:01.436,1,COM9,6,VSP,5384.000,0.000
2025-11-08 11:55:01.787,1,COM9,7,VSN,0.000,0.000
2025-11-08 11:55:12.032,5,COM7,0,ELVDD_EX,6840.462,17.184
