时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-07 21:46:59.528,5,COM7,0,ELVDD_EX,6833.306,29.989
2025-11-07 21:46:59.842,5,COM7,1,ELVSS_EX,-1246.739,-1.851
2025-11-07 21:47:00.086,5,COM7,2,VCC_EX,2719.827,8.157
2025-11-07 21:47:00.412,5,COM7,3,IOVCC_EX,1820.658,72.861
2025-11-07 21:47:00.683,5,COM7,4,IOVCC,1800.000,0.000
2025-11-07 21:47:00.980,5,COM7,5,VCI,3008.000,0.000
2025-11-07 21:47:01.232,5,COM7,6,VSP,5368.000,0.000
2025-11-07 21:47:01.560,5,COM7,7,VSN,0.000,70.496
2025-11-07 21:47:01.847,4,COM8,0,ELVDD_EX,6866.260,24.325
2025-11-07 21:47:02.216,4,COM8,1,ELVSS_EX,-1323.116,-1.951
2025-11-07 21:47:02.478,4,COM8,2,VCC_EX,2719.431,9.015
2025-11-07 21:47:02.856,4,COM8,3,IOVCC_EX,1809.234,64.031
2025-11-07 21:47:03.120,4,COM8,4,IOVCC,1808.000,0.000
2025-11-07 21:47:03.425,4,COM8,5,VCI,2816.000,0.000
2025-11-07 21:47:03.701,4,COM8,6,VSP,5384.000,0.000
2025-11-07 21:47:04.006,4,COM8,7,VSN,0.000,80.566
2025-11-07 21:47:04.321,1,COM9,0,ELVDD_EX,7047.986,19.019
2025-11-07 21:47:04.688,1,COM9,1,ELVSS_EX,-1317.746,-0.687
2025-11-07 21:47:04.950,1,COM9,2,VCC_EX,2727.347,7.808
2025-11-07 21:47:05.265,1,COM9,3,IOVCC_EX,1799.621,68.385
2025-11-07 21:47:05.519,1,COM9,4,IOVCC,1800.000,0.000
2025-11-07 21:47:05.843,1,COM9,5,VCI,3008.000,0.000
2025-11-07 21:47:06.096,1,COM9,6,VSP,5384.000,0.000
2025-11-07 21:47:06.410,1,COM9,7,VSN,0.000,0.000
2025-11-07 21:47:06.644,0,COM10,0,ELVDD_EX,6955.426,13.362
2025-11-07 21:47:06.867,0,COM10,1,ELVSS_EX,-1276.870,-0.638
2025-11-07 21:47:07.212,0,COM10,2,VCC_EX,2688.681,6.512
2025-11-07 21:47:07.457,0,COM10,3,IOVCC_EX,1782.588,47.768
2025-11-07 21:47:07.783,0,COM10,4,IOVCC,2800.000,0.000
2025-11-07 21:47:08.017,0,COM10,5,VCI,2808.000,0.000
2025-11-07 21:47:08.363,0,COM10,6,VSP,5376.000,0.000
2025-11-07 21:47:08.609,0,COM10,7,VSN,0.000,54.382
