时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-10 05:47:56.718,5,COM7,0,ELVDD_EX,6824.896,16.644
2025-11-10 05:47:56.942,5,COM7,1,ELVSS_EX,-1254.447,-0.731
2025-11-10 05:47:57.299,5,COM7,2,VCC_EX,2720.604,7.528
2025-11-10 05:47:57.513,5,COM7,3,IOVCC_EX,1823.788,314.129
2025-11-10 05:47:57.871,5,COM7,4,IOVCC,1800.000,0.000
2025-11-10 05:47:58.108,5,COM7,5,VCI,3008.000,0.000
2025-11-10 05:47:58.446,5,COM7,6,VSP,5376.000,0.000
2025-11-10 05:47:58.661,5,COM7,7,VSN,0.000,24.170
2025-11-10 05:47:58.979,4,COM8,0,ELVDD_EX,6872.227,13.327
2025-11-10 05:47:59.201,4,COM8,1,ELVSS_EX,-1383.913,-0.707
2025-11-10 05:47:59.543,4,COM8,2,VCC_EX,2720.167,7.810
2025-11-10 05:47:59.759,4,COM8,3,IOVCC_EX,1808.222,260.519
2025-11-10 05:48:00.118,4,COM8,4,IOVCC,1808.000,0.000
2025-11-10 05:48:00.333,4,COM8,5,VCI,2816.000,0.000
2025-11-10 05:48:00.692,4,COM8,6,VSP,5392.000,0.000
2025-11-10 05:48:00.919,4,COM8,7,VSN,0.000,12.085
2025-11-10 05:48:01.235,1,COM9,0,ELVDD_EX,7045.493,17.490
2025-11-10 05:48:01.464,1,COM9,1,ELVSS_EX,-1322.184,-0.428
2025-11-10 05:48:01.807,1,COM9,2,VCC_EX,2727.683,8.428
2025-11-10 05:48:02.028,1,COM9,3,IOVCC_EX,1804.306,314.666
2025-11-10 05:48:02.381,1,COM9,4,IOVCC,1800.000,0.000
2025-11-10 05:48:02.604,1,COM9,5,VCI,3008.000,0.000
2025-11-10 05:48:02.956,1,COM9,6,VSP,5384.000,0.000
2025-11-10 05:48:03.181,1,COM9,7,VSN,0.000,0.000
2025-11-10 05:48:13.561,5,COM7,0,ELVDD_EX,6822.958,30.312
2025-11-10 05:48:13.789,5,COM7,1,ELVSS_EX,-1251.155,-1.668
2025-11-10 05:48:14.138,5,COM7,2,VCC_EX,2723.042,8.296
2025-11-10 05:48:14.364,5,COM7,3,IOVCC_EX,1823.707,310.432
2025-11-10 05:48:14.714,5,COM7,4,IOVCC,1800.000,0.000
2025-11-10 05:48:14.940,5,COM7,5,VCI,3008.000,0.000
2025-11-10 05:48:15.290,5,COM7,6,VSP,5376.000,0.000
2025-11-10 05:48:15.528,5,COM7,7,VSN,0.000,12.085
2025-11-10 05:48:15.817,4,COM8,0,ELVDD_EX,6869.031,16.290
2025-11-10 05:48:16.042,4,COM8,1,ELVSS_EX,-1363.254,-0.794
2025-11-10 05:48:16.390,4,COM8,2,VCC_EX,2721.258,7.935
2025-11-10 05:48:16.628,4,COM8,3,IOVCC_EX,1807.790,262.442
2025-11-10 05:48:16.959,4,COM8,4,IOVCC,1808.000,0.000
2025-11-10 05:48:17.175,4,COM8,5,VCI,2816.000,0.000
2025-11-10 05:48:17.535,4,COM8,6,VSP,5384.000,0.000
2025-11-10 05:48:17.762,4,COM8,7,VSN,0.000,22.156
2025-11-10 05:48:18.078,1,COM9,0,ELVDD_EX,7031.174,17.586
2025-11-10 05:48:18.296,1,COM9,1,ELVSS_EX,-1256.840,-1.736
2025-11-10 05:48:18.650,1,COM9,2,VCC_EX,2731.143,8.369
2025-11-10 05:48:18.873,1,COM9,3,IOVCC_EX,1806.409,307.607
2025-11-10 05:48:19.222,1,COM9,4,IOVCC,1800.000,0.000
2025-11-10 05:48:19.439,1,COM9,5,VCI,3008.000,0.000
2025-11-10 05:48:19.798,1,COM9,6,VSP,5384.000,0.000
2025-11-10 05:48:20.035,1,COM9,7,VSN,0.000,0.000
2025-11-10 05:48:30.414,5,COM7,0,ELVDD_EX,6844.624,28.179
2025-11-10 05:48:30.651,5,COM7,1,ELVSS_EX,-1257.613,-1.633
2025-11-10 05:48:30.982,5,COM7,2,VCC_EX,2721.471,8.223
2025-11-10 05:48:31.208,5,COM7,3,IOVCC_EX,1823.880,305.408
2025-11-10 05:48:31.556,5,COM7,4,IOVCC,1800.000,0.000
2025-11-10 05:48:31.772,5,COM7,5,VCI,3008.000,0.000
2025-11-10 05:48:32.130,5,COM7,6,VSP,5376.000,0.000
2025-11-10 05:48:32.357,5,COM7,7,VSN,0.000,44.312
2025-11-10 05:48:32.654,4,COM8,0,ELVDD_EX,6873.027,16.521
2025-11-10 05:48:32.871,4,COM8,1,ELVSS_EX,-1315.342,-1.900
2025-11-10 05:48:33.168,4,COM8,2,VCC_EX,2721.954,7.844
2025-11-10 05:48:33.386,4,COM8,3,IOVCC_EX,1809.659,257.878
2025-11-10 05:48:33.741,4,COM8,4,IOVCC,1808.000,0.000
2025-11-10 05:48:33.962,4,COM8,5,VCI,2816.000,0.000
2025-11-10 05:48:34.317,4,COM8,6,VSP,5392.000,0.000
2025-11-10 05:48:34.537,4,COM8,7,VSN,0.000,28.198
2025-11-10 05:48:34.762,1,COM9,0,ELVDD_EX,7040.500,29.215
2025-11-10 05:48:35.071,1,COM9,1,ELVSS_EX,-1273.294,-0.453
2025-11-10 05:48:35.307,1,COM9,2,VCC_EX,2729.326,8.191
2025-11-10 05:48:35.636,1,COM9,3,IOVCC_EX,1804.609,316.625
2025-11-10 05:48:35.870,1,COM9,4,IOVCC,1800.000,0.000
2025-11-10 05:48:36.220,1,COM9,5,VCI,3008.000,0.000
2025-11-10 05:48:36.437,1,COM9,6,VSP,5392.000,0.000
2025-11-10 05:48:36.795,1,COM9,7,VSN,0.000,0.000
2025-11-10 05:48:47.021,5,COM7,0,ELVDD_EX,6840.668,17.839
2025-11-10 05:48:47.341,5,COM7,1,ELVSS_EX,-1299.031,-0.764
2025-11-10 05:48:47.557,5,COM7,2,VCC_EX,2720.254,7.648
2025-11-10 05:48:47.907,5,COM7,3,IOVCC_EX,1823.675,311.206
2025-11-10 05:48:48.134,5,COM7,4,IOVCC,1800.000,0.000
2025-11-10 05:48:48.484,5,COM7,5,VCI,3008.000,0.000
2025-11-10 05:48:48.709,5,COM7,6,VSP,5376.000,0.000
2025-11-10 05:48:49.059,5,COM7,7,VSN,0.000,0.000
2025-11-10 05:48:49.274,4,COM8,0,ELVDD_EX,6890.052,16.268
2025-11-10 05:48:49.583,4,COM8,1,ELVSS_EX,-1382.229,-0.723
2025-11-10 05:48:49.830,4,COM8,2,VCC_EX,2720.022,9.148
2025-11-10 05:48:50.158,4,COM8,3,IOVCC_EX,1808.068,263.096
2025-11-10 05:48:50.385,4,COM8,4,IOVCC,1808.000,0.000
2025-11-10 05:48:50.737,4,COM8,5,VCI,2816.000,0.000
