FrameID,StartTime,EndTime,Duration,MOSI_Bytes,MISO_Bytes
11,1.546126664,1.54649449,0.00036782599999996,0x4C 0x05 0xFA 0x80 0x02 0x01 0x88 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0xCA 0x0F 0x3C 0x78 0x00 0x04 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xC0 0x00 0x30 0x40,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
12,1.548126748,1.548494698,0.00036795000000000577,0x4C 0x05 0xFA 0x80 0x02 0x01 0xB9 0xBA 0x00 0x00 0x00 0x00 0x00 0x30 0x08 0x00 0x00 0x30 0xC1 0x14 0x7D 0x10 0xAA 0x32 0x80 0x93 0x92 0x64 0x0F 0x0C 0xA3 0x32 0x82 0x64 0x2D 0x0C 0xA4 0x32 0x80 0x64 0x0A 0x08 0x26 0x32 0x82 0x64 0x1B 0x0C 0x27 0x32 0x82 0x64 0x03 0x08 0xAA 0x32,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
13,1.55012704,1.550494864,0.0003678240000000166,0x4C 0x05 0xFA 0x80 0x02 0x01 0xEA 0x40 0xB3 0x81 0x14 0xB3 0x32 0x82 0x64 0x0C 0x0C 0xC3 0x33 0xC2 0x64 0xFA 0x0B 0x4B 0x39 0x03 0x0C 0x52 0x39 0xF6 0x0B 0x6E 0x10 0xAA 0x32 0x40 0xB3 0x81 0x14 0x3F 0x21 0x26 0x32 0x44 0x74 0x84 0x64 0xED 0x0B 0xEA 0x07 0x63 0x59 0x02 0x32 0xCC,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
14,1.552127194,1.552495018,0.00036782399999979454,0x4C 0x05 0xFA 0x80 0x02 0x02 0x1B 0x74 0xC8 0x64 0xF2 0x0B 0x5D 0x39 0xF0 0x0F 0x20 0x29 0x44 0x74 0x01 0x39 0xEC 0x0F 0x81 0x14 0x3A 0x32 0x86 0x64 0xDB 0x0F 0x81 0x14 0x00 0x00 0x00 0xF8 0x00 0x50 0xD2 0x14 0x6A 0x13 0x03 0x6D 0x00 0x83 0x47 0x6D 0x00 0x74 0x28 0x4C 0xFF 0xE3,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
15,1.554127348,1.554495172,0.0003678240000000166,0x4C 0x05 0xFA 0x80 0x02 0x02 0x4C 0xBD 0xFF 0x23 0xEA 0x00 0x50 0x0C 0x61 0xA0 0xA4 0x92 0x14 0xBC 0x38 0xBE 0x38 0x00 0x80 0x00 0x74 0x3C 0x78 0x00 0x00 0xD2 0x14 0x60 0x13 0x03 0x6D 0x00 0x83 0x47 0x6D 0x00 0x74 0x28 0x4C 0x88 0x44 0xFF 0xE3 0xA8 0xFF 0xBC 0x3C 0xBE 0x3C 0xA0,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
16,1.5561275,1.556495324,0.00036782399999979454,0x4C 0x05 0xFA 0x80 0x02 0x02 0x7D 0xA4 0x92 0x14 0x08 0x40 0xBC 0x38 0xBE 0x38 0x00 0x80 0x00 0x74 0x3C 0x78 0x77 0x12 0x58 0x12 0x40 0xB3 0x20 0xB3 0x74 0x12 0x20 0xA3 0x3C 0x78 0x00 0x00 0xD0 0x14 0x73 0x12 0x10 0x32 0x0A 0x30 0x40 0xB3 0x53 0x12 0x40 0xB3 0xFF 0xE3 0x47 0xFF,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
17,1.55812664,1.5584947,0.0003680600000000034,0x4C 0x05 0xFA 0x80 0x02 0x02 0xAE 0x90 0x14 0xD0 0x14 0x6E 0x12 0x4E 0x12 0x41 0x38 0x40 0xB3 0x26 0x32 0x40 0xB3 0x6A 0x12 0x40 0xA3 0x15 0x0C 0x40 0x38 0x0F 0x0C 0x42 0x38 0x04 0x08 0x6A 0x12 0x03 0x32 0x40 0xB3 0x66 0x12 0x10 0x32 0x0A 0x30 0x40 0xB3 0x46 0x12 0x40 0xB3 0xFF,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
18,1.560127058,1.560495006,0.00036794800000006234,0x4C 0x05 0xFA 0x80 0x02 0x02 0xDF 0xE3 0x2D 0xFF 0x90 0x14 0x64 0x12 0x01 0x32 0x40 0xB3 0xF4 0x07 0x62 0x12 0x02 0x32 0x40 0xB3 0xF0 0x07 0x41 0x12 0x00 0x33 0x60 0xB2 0x60 0x92 0x40 0x3B 0xFE 0x0F 0x3C 0x78 0x00 0x00 0xD4 0x14 0x22 0x14 0x98 0x11 0xB7 0x11 0x58 0x11 0x26 0x33,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
19,1.562127292,1.562495118,0.00036782599999996,0x4C 0x05 0xFA 0x80 0x02 0x03 0x10 0x40 0xB4 0x40 0xB8 0x60 0xB4 0x03 0x32 0x60 0xA5 0x77 0x11 0xF5 0x11 0x40 0xB3 0x10 0x33 0x0A 0x30 0x60 0xB4 0xE0 0xB4 0x00 0x36 0xFF 0xE3 0x07 0xFF 0x40 0x98 0x27 0x33 0x40 0xB4 0x41 0xB8 0x60 0xB4 0x60 0xA5 0x00 0x31 0x00 0x85 0x00 0x74 0x55,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
20,1.564127474,1.564495424,0.00036795000000000577,0x4C 0x05 0xFA 0x80 0x02 0x03 0x41 0x2E 0xFF 0xE3 0x41 0xFF 0x6E 0x11 0x0A 0x30 0xC0 0xA3 0x60 0xB8 0x10 0x33 0x60 0xB4 0xE0 0xB4 0xFF 0xE3 0xF2 0xFE 0x41 0x98 0x26 0x33 0x40 0xB4 0x60 0xB4 0x60 0xA5 0x00 0x31 0x00 0x85 0x00 0x74 0xFF 0xE3 0x2E 0xFF 0x60 0x98 0x0A 0x30 0xC0 0xA3,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
21,1.566127698,1.566495758,0.0003680600000000034,0x4C 0x05 0xFA 0x80 0x02 0x03 0x72 0x10 0x33 0x60 0xB4 0xE0 0xB4 0xFF 0xE3 0xE0 0xFE 0x02 0x14 0x94 0x14 0xD4 0x14 0x47 0x6D 0x0B 0x6D 0xFF 0xE3 0x95 0xFF 0x78 0x10 0x58 0x10 0x40 0x3D 0x40 0xB3 0x27 0x32 0x40 0xB3 0x74 0x10 0x40 0xA3 0x21 0x0C 0x41 0x3D 0x16 0x08 0xD8 0x10 0x00,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
22,1.568126976,1.5684948,0.0003678240000000166,0x4C 0x05 0xFA 0x80 0x02 0x03 0xA3 0x35 0x9B 0x6C 0xD7 0x6C 0x06 0xE4 0x0F 0x00 0xE0 0x82 0x00 0x22 0x82 0x64 0x22 0x5B 0xD0 0x60 0xE0 0xA3 0xC5 0x74 0xF9 0x0B 0x0F 0x25 0x03 0xEA 0x50 0x01 0x55 0x75 0xFF 0x26 0xD6 0x64 0xEE 0x0B 0x68 0x10 0x10 0x32 0x0A 0x30 0x40 0xB3 0x48 0x10,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
