FrameID,StartTime,EndTime,Duration,MOSI_Bytes,MISO_Bytes
11,0.221998452,0.222390654,0.000392202,0x4C 0x05 0xFA 0x80 0x02 0x00 0xF5 0x24 0x00 0x00 0x50 0x25 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0x20 0xEA 0x00 0x80 0x00 0xC0 0x20 0x64 0x29 0x11 0x01 0xC0 0x21 0x64 0x80 0xC1 0x20 0x74 0x28 0x11 0x87 0x6F 0x08 0x11 0x28 0x11 0x49 0x11 0x86 0x60 0x40 0x3A 0x08 0x0C,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
12,0.223998392,0.224390596,0.000392204,0x4C 0x05 0xFA 0x80 0x02 0x01 0x26 0x60 0x90 0x60 0xB1 0x03 0x20 0x03 0x21 0x03 0x2A 0x40 0x3A 0xFA 0x0B 0x00 0xE0 0x28 0x4C 0x20 0x38 0x38 0x08 0x00 0x28 0x20 0x38 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
13,0.225998334,0.226390538,0.000392204,0x4C 0x05 0xFA 0x80 0x02 0x01 0x57 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
14,0.227998278,0.228390482,0.000392204,0x4C 0x05 0xFA 0x80 0x02 0x01 0x88 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0xCA 0x0F 0x3C 0x78 0x00 0x04 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xC0 0x00 0x30 0x40,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
15,0.22999822,0.230390422,0.000392202,0x4C 0x05 0xFA 0x80 0x02 0x01 0xB9 0xBA 0x00 0x00 0x00 0x00 0x00 0x30 0x08 0x00 0x00 0x30 0xC1 0x14 0x7D 0x10 0xAA 0x32 0x80 0x93 0x92 0x64 0x0F 0x0C 0xA3 0x32 0x82 0x64 0x2D 0x0C 0xA4 0x32 0x80 0x64 0x0A 0x08 0x26 0x32 0x82 0x64 0x1B 0x0C 0x27 0x32 0x82 0x64 0x03 0x08 0xAA 0x32,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
16,0.231998162,0.232390366,0.000392204,0x4C 0x05 0xFA 0x80 0x02 0x01 0xEA 0x40 0xB3 0x81 0x14 0xB3 0x32 0x82 0x64 0x0C 0x0C 0xC3 0x33 0xC2 0x64 0xFA 0x0B 0x4B 0x39 0x03 0x0C 0x52 0x39 0xF6 0x0B 0x6E 0x10 0xAA 0x32 0x40 0xB3 0x81 0x14 0x3F 0x21 0x26 0x32 0x44 0x74 0x84 0x64 0xED 0x0B 0xEA 0x07 0x63 0x59 0x02 0x32 0xCC,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
17,0.233998104,0.234390306,0.000392202,0x4C 0x05 0xFA 0x80 0x02 0x02 0x1B 0x74 0xC8 0x64 0xF2 0x0B 0x5D 0x39 0xF0 0x0F 0x20 0x29 0x44 0x74 0x01 0x39 0xEC 0x0F 0x81 0x14 0x3A 0x32 0x86 0x64 0xDB 0x0F 0x81 0x14 0x00 0x00 0x00 0xF8 0x00 0x50 0xD2 0x14 0x6A 0x13 0x03 0x6D 0x00 0x83 0x47 0x6D 0x00 0x74 0x28 0x4C 0xFF 0xE3,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
18,0.235998048,0.23639025,0.000392202,0x4C 0x05 0xFA 0x80 0x02 0x02 0x4C 0xBD 0xFF 0x23 0xEA 0x00 0x50 0x0C 0x61 0xA0 0xA4 0x92 0x14 0xBC 0x38 0xBE 0x38 0x00 0x80 0x00 0x74 0x3C 0x78 0x00 0x00 0xD2 0x14 0x60 0x13 0x03 0x6D 0x00 0x83 0x47 0x6D 0x00 0x74 0x28 0x4C 0x88 0x44 0xFF 0xE3 0xA8 0xFF 0xBC 0x3C 0xBE 0x3C 0xA0,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
19,0.23799799,0.238390192,0.000392202,0x4C 0x05 0xFA 0x80 0x02 0x02 0x7D 0xA4 0x92 0x14 0x08 0x40 0xBC 0x38 0xBE 0x38 0x00 0x80 0x00 0x74 0x3C 0x78 0x77 0x12 0x58 0x12 0x40 0xB3 0x20 0xB3 0x74 0x12 0x20 0xA3 0x3C 0x78 0x00 0x00 0xD0 0x14 0x73 0x12 0x10 0x32 0x0A 0x30 0x40 0xB3 0x53 0x12 0x40 0xB3 0xFF 0xE3 0x47 0xFF,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
20,0.239997932,0.240390134,0.000392202,0x4C 0x05 0xFA 0x80 0x02 0x02 0xAE 0x90 0x14 0xD0 0x14 0x6E 0x12 0x4E 0x12 0x41 0x38 0x40 0xB3 0x26 0x32 0x40 0xB3 0x6A 0x12 0x40 0xA3 0x15 0x0C 0x40 0x38 0x0F 0x0C 0x42 0x38 0x04 0x08 0x6A 0x12 0x03 0x32 0x40 0xB3 0x66 0x12 0x10 0x32 0x0A 0x30 0x40 0xB3 0x46 0x12 0x40 0xB3 0xFF,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
