No.,Time,Source,Destination,Protocol,Length,HID Data,Info
2442,13.705118,1.37.1,host,USB,27,,URB_INTERRUPT out
2443,13.707112,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2444,13.707146,host,1.37.1,USB,27,,URB_INTERRUPT in
2445,13.707174,host,1.37.1,USB,91,40fa0001020300384c05fa8002009300882300006c2000008c2400009c200000fc200000202100006c21000088210000a8210000c0210000d821000004220000,URB_INTERRUPT out
2446,13.709116,1.37.1,host,USB,27,,URB_INTERRUPT out
2447,13.71111,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2448,13.711133,host,1.37.1,USB,27,,URB_INTERRUPT in
2449,13.711237,host,1.37.1,USB,91,40fa0001020400384c05fa800200c41c220000502200007c220000b0220000b4240000d0220000e82200000023000018230000442300005c23000074240000f4,URB_INTERRUPT out
2450,13.713118,1.37.1,host,USB,27,,URB_INTERRUPT out
2463,13.919139,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2464,13.919175,host,1.37.1,USB,27,,URB_INTERRUPT in
2465,13.91979,host,1.37.1,USB,91,40fa0001020500384c05fa800200f524000050250000ac010000ac01000020ea008000c02064291101c0216480c120742811876f0811281149118660403a080c,URB_INTERRUPT out
2466,13.921135,1.37.1,host,USB,27,,URB_INTERRUPT out
2467,13.923123,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2468,13.923157,host,1.37.1,USB,27,,URB_INTERRUPT in
2469,13.923191,host,1.37.1,USB,91,40fa0001020600384c05fa80020126609060b103200321032a403afa0b00e0284c2038380800282038036c036c036c036c036c036c036c036c036c036c036c03,URB_INTERRUPT out
2470,13.925124,1.37.1,host,USB,27,,URB_INTERRUPT out
2471,13.927121,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2472,13.927152,host,1.37.1,USB,27,,URB_INTERRUPT in
2473,13.927205,host,1.37.1,USB,91,40fa0001020700384c05fa800201576c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c,URB_INTERRUPT out
2474,13.929134,1.37.1,host,USB,27,,URB_INTERRUPT out
2475,13.931125,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2476,13.931158,host,1.37.1,USB,27,,URB_INTERRUPT in
2477,13.931196,host,1.37.1,USB,91,40fa0001020800384c05fa80020188036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036cca0f3c78000400000000000000c0003040,URB_INTERRUPT out
2478,13.933126,1.37.1,host,USB,27,,URB_INTERRUPT out
2479,13.935135,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2480,13.935157,host,1.37.1,USB,27,,URB_INTERRUPT in
2481,13.935229,host,1.37.1,USB,91,40fa0001020900384c05fa800201b9ba00000000003008000030c1147d10aa32809392640f0ca33282642d0ca43280640a08263282641b0c273282640308aa32,URB_INTERRUPT out
2482,13.937129,1.37.1,host,USB,27,,URB_INTERRUPT out
2483,13.939123,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2484,13.93916,host,1.37.1,USB,27,,URB_INTERRUPT in
2485,13.939179,host,1.37.1,USB,91,40fa0001020a00384c05fa800201ea40b38114b33282640c0cc333c264fa0b4b39030c5239f60b6e10aa3240b381143f21263244748464ed0bea0763590232cc,URB_INTERRUPT out
2486,13.941127,1.37.1,host,USB,27,,URB_INTERRUPT out
2487,13.943122,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2488,13.943156,host,1.37.1,USB,27,,URB_INTERRUPT in
2489,13.943183,host,1.37.1,USB,91,40fa0001020b00384c05fa8002021b74c864f20b5d39f00f202944740139ec0f81143a328664db0f8114000000f80050d2146a13036d0083476d0074284cffe3,URB_INTERRUPT out
2490,13.945113,1.37.1,host,USB,27,,URB_INTERRUPT out
2491,13.947116,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2492,13.947137,host,1.37.1,USB,27,,URB_INTERRUPT in
2493,13.947183,host,1.37.1,USB,91,40fa0001020c00384c05fa8002024cbdff23ea00500c61a0a49214bc38be38008000743c780000d2146013036d0083476d0074284c8844ffe3a8ffbc3cbe3ca0,URB_INTERRUPT out
2494,13.949395,1.37.1,host,USB,27,,URB_INTERRUPT out
2507,13.951119,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2508,13.951139,host,1.37.1,USB,27,,URB_INTERRUPT in
2509,13.951203,host,1.37.1,USB,91,40fa0001020d00384c05fa8002027da492140840bc38be38008000743c787712581240b320b3741220a33c780000d014731210320a3040b3531240b3ffe347ff,URB_INTERRUPT out
2510,13.953126,1.37.1,host,USB,27,,URB_INTERRUPT out
2511,13.955122,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2512,13.955154,host,1.37.1,USB,27,,URB_INTERRUPT in
2513,13.95518,host,1.37.1,USB,91,40fa0001020e00384c05fa800202ae9014d0146e124e12413840b3263240b36a1240a3150c40380f0c423804086a12033240b3661210320a3040b3461240b3ff,URB_INTERRUPT out
2514,13.957125,1.37.1,host,USB,27,,URB_INTERRUPT out
2515,13.95912,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2516,13.959154,host,1.37.1,USB,27,,URB_INTERRUPT in
2517,13.959175,host,1.37.1,USB,91,40fa0001020f00384c05fa800202dfe32dff90146412013240b3f4076212023240b3f0074112003360b26092403bfe0f3c780000d41422149811b71158112633,URB_INTERRUPT out
2518,13.961113,1.37.1,host,USB,27,,URB_INTERRUPT out
2519,13.963125,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2520,13.963164,host,1.37.1,USB,27,,URB_INTERRUPT in
2521,13.96321,host,1.37.1,USB,91,40fa0001021000384c05fa8002031040b440b860b4033260a57711f51140b310330a3060b4e0b40036ffe307ff4098273340b441b860b460a500310085007455,URB_INTERRUPT out
2522,13.965122,1.37.1,host,USB,27,,URB_INTERRUPT out
2523,13.967124,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2524,13.967161,host,1.37.1,USB,27,,URB_INTERRUPT in
2525,13.967245,host,1.37.1,USB,91,40fa0001021100384c05fa800203412effe341ff6e110a30c0a360b8103360b4e0b4ffe3f2fe4198263340b460b460a5003100850074ffe32eff60980a30c0a3,URB_INTERRUPT out
2526,13.969121,1.37.1,host,USB,27,,URB_INTERRUPT out
2527,13.971121,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2528,13.971155,host,1.37.1,USB,27,,URB_INTERRUPT in
2529,13.971191,host,1.37.1,USB,91,40fa0001021200384c05fa80020372103360b4e0b4ffe3e0fe02149414d414476d0b6dffe395ff78105810403d40b3273240b3741040a3210c413d1608d81000,URB_INTERRUPT out
2530,13.97312,1.37.1,host,USB,27,,URB_INTERRUPT out
2531,13.975121,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2532,13.975154,host,1.37.1,USB,27,,URB_INTERRUPT in
2533,13.975195,host,1.37.1,USB,91,40fa0001021300384c05fa800203a3359b6cd76c06e40f00e08200228264225bd060e0a3c574f90b0f2503ea50015575ff26d664ee0b681010320a3040b34810,URB_INTERRUPT out
2534,13.977122,1.37.1,host,USB,27,,URB_INTERRUPT out
2535,13.979122,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2536,13.979164,host,1.37.1,USB,27,,URB_INTERRUPT in
2537,13.979245,host,1.37.1,USB,91,40fa0001021400384c05fa800203d440b3ffe3b1fe9414ca100035140400000000003000ff005055aa660066995500001900505808003000f800500062005000,URB_INTERRUPT out
2538,13.981125,1.37.1,host,USB,27,,URB_INTERRUPT out
2539,13.983128,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2540,13.983166,host,1.37.1,USB,27,,URB_INTERRUPT in
