,ID1,,ID2,,ID3,,ID4,,ID5,,ID6,,ID7,,ID8,,ID9,,ID10,,
Frame,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,
LINE_1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gesture:,
RAWDATA_1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,
Y1,,-2,0,0,-2,-2,0,0,,,0,0,0,0,0,0,0,,
Y2,3,2,2,4,1,0,2,2,0,2,0,4,2,0,0,2,0,2,
Y3,3,2,4,2,2,2,0,-1,2,0,2,4,0,2,0,2,2,3,
Y4,3,-2,2,2,0,0,2,0,2,2,-2,4,0,2,2,2,2,2,
Y5,2,2,2,4,-2,-2,0,2,-2,-2,0,2,-2,2,2,-2,0,2,
Y6,2,2,2,0,2,0,2,-2,0,0,0,0,2,0,2,0,0,1,
Y7,2,2,2,-2,0,2,2,2,2,-2,2,4,2,2,0,2,2,0,
Y8,2,0,0,2,2,2,0,0,2,0,2,2,2,0,2,4,2,2,
Y9,2,2,2,2,2,2,0,-2,0,0,4,0,0,1,0,0,2,2,
Y10,0,2,0,0,2,2,0,2,2,0,3,0,0,2,-1,2,0,2,
Y11,0,2,-1,0,2,0,2,-2,0,2,2,0,2,2,-2,0,2,2,
Y12,2,2,4,2,2,0,0,-1,0,0,4,0,0,2,-2,2,2,4,
Y13,4,2,1,4,0,2,0,0,0,-2,2,0,1,0,0,0,2,0,
Y14,2,0,0,2,0,0,0,-2,2,0,2,-2,0,-2,0,0,2,2,
Y15,0,0,0,1,0,0,0,0,0,1,0,0,2,-2,2,-2,1,0,
Y16,2,2,0,0,0,1,1,-2,-2,0,-2,0,0,0,0,0,0,0,
Y17,2,0,0,0,-1,0,-2,-2,-2,2,0,2,0,0,0,0,2,1,
Y18,2,0,-2,0,0,-2,-2,0,0,-2,1,-2,0,0,-1,0,2,0,
Y19,0,2,0,2,-2,0,0,-2,0,0,-1,-2,-2,-2,-2,-2,2,0,
Y20,-2,2,2,-2,0,0,-2,0,0,0,0,0,0,-2,0,0,1,-2,
Y21,0,0,0,-1,-2,-2,-2,-2,-1,-2,-2,0,0,-2,-2,0,-3,-2,
